Identifier,Part Name/Number OR File Location,Source,Qty.,Cost Per,Material,
,,,,,,
Optics,,,,,,
USB Camera,Allied Vision Alvium 1800U-319m Right Angle (cat 23-204),Edmund Optics,1,604.95,,
USB Camera Cable,"AVT Type-A to Micro-B, USB 3.0 Locking Cable, 3m (cat 14-903)",Edmund Optics,1,123,,
Dichroic mirror for RFP,"600nm, 12.5mm Diameter, Dichroic Longpass Filter (cat. 69-868)",Edmund Optics,1,143,,
RFP Emission Filter,ET630/75m (12.5mm Circle Size),Chroma Technologies,1,365,,
Dichroic mirror for GFP,"500nm, 12.5mm Diameter, Dichroic Longpass Filter (cat 69-866)",Edmund Optics,1,143,,
GFP Emission Filter,ET525/50m (12.5mm Circle Size),Chroma Technologies,1,365,,
Dichroic mirror for DAPI,"400nm, 12.5mm Diameter, Dichroic Longpass Filter (cat 69-864)",Edmund Optics,1,143,,
DAPI Emission Filter,AT460/50m (12.5mm Circle Size),Chroma Technologies,1,225,,
40mm C-Mount Lens Tube,CML40,Thorlabs,1,31.79,,
Fiber Mounting Point,HASMA,Thorlabs,1,10.04,,
Filter Retaining Ring,SM05RR,Thorlabs,1 per filter or dichroic,4.63 ea,,
15mm C-Mount Lens Tube,CML15,Thorlabs,1,22.93,,
C-Mount to RMS Adapter,RMSA5,Thorlabs,1,23.68,,
4x Microscope Objective,4X Nikon Achromatic Finite Conjugate Objective (cat 59-934),Edmund Optics,1,83,,
10x Microscope Objective,10X Nikon Achromatic Finite Conjugate Objective (cat 59-935),Edmund Optics,1,123,,
20x Microscope Objective,20x Long Working Distance LM Plan Achromatic Metallurgical Microscope Objective Lens,Boli Optics,1,228.98,,
,,,,,,
Electronics,,,,,,
Servo Motor,M35CHW Coreless Servo,Flash Hobby,1,41.99,,
Servo Driver,Micro Maestro 6-Channel USB Servo Controller,Pololu,1,27.95,,
,,,,,,
Custom Parts,,,,,,
Camera Servo Mount,cam_to_turner_servo.dwg,SendCutSend,1,12,"Stainless Steel (304 series) (.125"")",
Servo Booster Seat,booster7mm.step,PCBWay,1,30,SLM Aluminum (3D Printed),
C-Mount to Turner Adapter,rotator to c-mount.stp,PCBWay,1,37,Aluminum 6061,Black Anodizing + Bead Blast
Turner Turret Bottom,rotary_filter_barrel_bottom.stp,PCBWay,1,33,Aluminum 6061,Black Anodizing + Bead Blast
Turner Turret Top,turret_outer_top.stp,PCBWay,1,37,Aluminum 6061,Black Anodizing + Bead Blast
Turner Turret,rotaryinner.step,PCBWay,1,37,Aluminum 6061,Black Anodizing + Bead Blast
,,,,,,
Fasteners,,,,,,
M2 Screw Kit,"830 Pcs M2 Screws Kit Metric Bolts Kit M2*4mm/6mm/8mm/10mm/12mm/16mm/20mm Machine Screw Kit, 12.9 Alloy Steel Black Zinc Plated Hex Socket Head Screws Nuts Bolts and Washers Set ",Amazon,1,8,,
M3 Screw Kit,"710PCS M3 Screw Assortment Kit, M3x6/8/10/12/16/20/25/30mm M3 Screw Kits, 10.9 Grade Alloy Steel Metric Hex Button Head Cap Screws, Nuts and Flat Washers, Black Zinc Plated Screw Set for 3D Printing ",Amazon,1,8,,
M3 Countersinking Screw Kit,"380 Pcs M3 Black Flat Head Machine Screws and Hex Nuts Kit Carbon Steel Countersunk Head Phillips Screws Bolts Assortment,M3 x 4mm/ 6mm/ 8mm/ 10mm/ 12mm/ 16mm/ 20mm ",Amazon,1,6,,
