Identifier,Part Name/Number OR File Location,Source,Qty.,Cost Per,Material
,,,,,
Electronics,,,,,
Linear Rail,Zeberoxyz 150mm Travel Mini Linear Rail T6x1 Leadscrew,Amazon,1,69.89,
Linear Rail Driver,Tic T825 Stepper Motor Driver,Polulu,1,42.95,
Endstop Switch,Mechanical Endstop Limit Switch Touch Switch Module (Red),Amazon,1,8.99,
330Ω Resistor,330 ohm Resistor 1/2W,Amazon,1,4.59,
Linear Rail Power Supply,ALITOVE 24V 2A Power Supply,Amazon,1,15,
,,,,,
Custom Parts,,,,,
Microscope Base,microscope_base_z.dxf,SendCutSend,1,20,"Stainless Steel (304 series) (.125"")"
Microscope Top,flatslot_top_oval.dxf,SendCutSend,1,20,"Stainless Steel (304 series) (.125"")"
Camera Holder,U_rail to alvium adapter.stp,PCBWay,1,30,Stainless Steel 304 (CNC)
Endstop Holder,endstopholder_Z.dxf,SendCutSend,1,7,"Stainless Steel (304 series) (.125"") with 90 DEGREE BEND"
,,,,,
Fasteners,,,,,
M2.5x25 Socket Head Screws,91290A055,McMaster Carr,1,9.5,
M3 Socket Head Screw Set,"600 Pcs M3 Screws Assortment Kit, Black Alloy Steel Hex Socket Head Screws Assortment Set",Amazon,1,7,
M3x8 Countersinking Screws,92125A128,McMaster Carr,1,6.42,
M3 Button Head Screw Set,"710PCS M3 Screw Assortment Kit, M3x6/8/10/12/16/20/25/30mm M3 Screw Kits, 10.9 Grade Alloy Steel Metric Hex Button Head Cap Screws, Nuts and Flat Washers, Black Zinc Plated Screw Set for 3D Printing ",Amazon,1,8,
